a,chi,delta_cl,gamma_leak,eps_spec,margin
1.2,0.0,1.3877787807814457e-17,9.845972319522067e-17,0.01,-0.010000000000000085
1.2,0.025,8.326672684688674e-17,5.674918932818565e-17,0.01,-0.009999999999999974
1.2,0.05,4.163336342344337e-17,8.432301986592355e-17,0.01,-0.010000000000000044
1.2,0.07500000000000001,0.0011000000000000176,3.1401849173675503e-16,0.01,-0.008900000000000297
1.2,0.1,0.009799999999999892,0.0,0.01,-0.00020000000000010808
1.2,0.125,0.01849999999999996,1.087343186773056e-16,0.01,0.008499999999999853
1.2,0.15000000000000002,0.027199999999999946,2.7603790197948746e-17,0.01,0.017199999999999917
1.2,0.17500000000000002,0.03590000000000004,2.760219029744983e-17,0.01,0.025900000000000013
1.2,0.2,0.04460000000000003,0.0,0.01,0.03460000000000003
1.2,0.225,0.053299999999999875,5.519798272803443e-17,0.01,0.04329999999999982
1.2,0.25,0.06200000000000003,2.7597392331001076e-17,0.01,0.052
1.2,0.275,0.07069999999999985,2.41418458646465e-16,0.01,0.06069999999999961
1.2,0.30000000000000004,0.07940000000000003,2.1738043551789915e-16,0.01,0.06939999999999981
1.2,0.325,0.08809999999999996,1.5828639989206385e-16,0.01,0.07809999999999981
1.2,0.35000000000000003,0.09680000000000002,0.0,0.01,0.08680000000000003
1.2,0.375,0.10550000000000001,2.7589401501273484e-17,0.01,0.09549999999999999
1.2,0.4,0.11420000000000002,0.0,0.01,0.10420000000000003
1.2,0.42500000000000004,0.12290000000000001,3.07405392377726e-16,0.01,0.11289999999999971
1.2,0.45,0.1316,3.146520247302081e-16,0.01,0.1215999999999997
1.2,0.47500000000000003,0.1403,2.7583014037442923e-17,0.01,0.13029999999999997
1.2,0.5,0.14900000000000002,1.554463009709423e-16,0.01,0.13899999999999985
1.2,0.525,0.1576999999999998,0.0,0.01,0.1476999999999998
1.2,0.55,0.16640000000000005,1.0862570250854563e-16,0.01,0.15639999999999993
1.2,0.5750000000000001,0.17509999999999998,1.08634788747178e-16,0.01,0.16509999999999986
1.2,0.6000000000000001,0.18379999999999985,0.0,0.01,0.17379999999999984
1.2,0.625,0.19249999999999992,2.7573441502104378e-17,0.01,0.18249999999999988
1.2,0.65,0.2011999999999998,0.0,0.01,0.1911999999999998
1.2,0.675,0.20989999999999998,5.514050593023165e-17,0.01,0.1998999999999999
1.2,0.7000000000000001,0.21859999999999996,2.7568659129209608e-17,0.01,0.20859999999999992
1.2,0.7250000000000001,0.2273,2.756706558164055e-17,0.01,0.21729999999999997
1.2,0.75,0.23600000000000002,1.6722451268380445e-16,0.01,0.22599999999999984
1.2,0.775,0.24469999999999995,0.0,0.01,0.23469999999999994
1.2,0.8,0.25339999999999996,2.1712550584629864e-16,0.01,0.24339999999999973
1.2,0.8250000000000001,0.26209999999999967,0.0,0.01,0.25209999999999966
1.2,0.8500000000000001,0.2707999999999998,2.755910216741245e-17,0.01,0.2607999999999998
1.2,0.875,0.27949999999999986,2.755751034900226e-17,0.01,0.26949999999999985
1.2,0.9,0.2882,1.0853991544443096e-16,0.01,0.2781999999999999
1.2,0.925,0.29689999999999983,5.510865515257644e-17,0.01,0.28689999999999977
1.2,0.9500000000000001,0.3055999999999999,1.0852378295451303e-16,0.01,0.2955999999999998
1.2,0.9750000000000001,0.3143,1.0851742286477331e-16,0.01,0.3042999999999999
1.2,1.0,0.32299999999999984,0.0,0.01,0.31299999999999983
1.2,1.0250000000000001,0.33169999999999994,1.0850470617006679e-16,0.01,0.3216999999999998
1.2,1.05,0.3403999999999997,0.0,0.01,0.3303999999999997
1.2,1.075,0.34909999999999985,1.0849199412062681e-16,0.01,0.33909999999999973
1.2,1.1,0.3578,5.508639388117542e-17,0.01,0.34779999999999994
1.2,1.125,0.36649999999999994,0.0,0.01,0.35649999999999993
1.2,1.1500000000000001,0.3752,2.1694586950692326e-16,0.01,0.36519999999999975
1.2,1.175,0.3839,5.507686196830678e-17,0.01,0.37389999999999995
1.2,1.2000000000000002,0.3926,0.0,0.01,0.3826
1.2,1.225,0.40129999999999977,1.0847287100779426e-16,0.01,0.39129999999999965
1.2,1.25,0.4099999999999999,0.0,0.01,0.3999999999999999
1.2,1.2750000000000001,0.41869999999999985,5.5064160802327887e-17,0.01,0.4086999999999998
1.2,1.3,0.4273999999999998,1.084348473480243e-16,0.01,0.41739999999999966
1.2,1.3250000000000002,0.4361000000000001,1.0844806167002017e-16,0.01,0.4261
1.2,1.35,0.4448,0.0,0.01,0.43479999999999996
1.2,1.375,0.45350000000000007,0.0,0.01,0.44350000000000006
1.2,1.4000000000000001,0.4622000000000001,5.504829727685442e-17,0.01,0.45220000000000005
1.2,1.425,0.47090000000000015,0.0,0.01,0.46090000000000014
1.2,1.4500000000000002,0.4796000000000001,1.0841708783044533e-16,0.01,0.46959999999999996
1.2,1.475,0.48829999999999973,0.0,0.01,0.4782999999999997
1.2,1.5,0.4970000000000001,0.0,0.01,0.4870000000000001
